,C5,C4,C3,C2,C1
1972-08-23,1.0254338,-0.6653849,0.5897425,2.0503397,0.38773772
1972-08-24,1.0063941,-0.54856694,0.59466803,2.0557895,0.37731883
1972-08-25,0.96530604,-0.73005295,0.65245044,2.07832,0.33784023
1972-08-28,0.94902325,-0.78500193,0.6607511,2.0910692,0.3115545
1972-08-29,0.93660724,-0.68441284,0.63755566,2.0993853,0.29451805
1972-08-30,0.9297366,-0.57979393,0.59936786,2.1116052,0.2618709
1972-08-31,0.9143311,-0.53964436,0.58922505,2.116097,0.26626626
1972-09-01,0.91764975,-0.49469882,0.5888818,2.1135108,0.27078632
1972-09-05,0.90684783,-0.3834433,0.60099316,2.120764,0.243676
1972-09-06,0.91823816,-0.3898558,0.5727915,2.124978,0.225444
1972-09-07,0.9367904,-0.36930585,0.5781348,2.1199784,0.2141296
1972-09-08,0.95455337,-0.36881799,0.56941795,2.1192527,0.19655754
1972-09-11,0.9617938,-0.26517588,0.53862727,2.1169333,0.20727628
1972-09-12,0.9400367,-0.29723203,0.5330777,2.1248102,0.20574835
1972-09-13,0.922814,-0.35236216,0.5487667,2.1308239,0.19582307
1972-09-14,0.90102863,-0.4358638,0.49512997,2.147094,0.17788415
1972-09-15,0.90810454,-0.389195,0.43244445,2.1496985,0.18900841
1972-09-18,0.91573507,-0.36343664,0.38403594,2.1492271,0.20264544
1972-09-19,0.91246593,-0.33636034,0.38190466,2.149041,0.20934203
1972-09-20,0.917789,-0.364443,0.40021008,2.1477425,0.20170018
1972-09-21,0.91541773,-0.38063067,0.375371,2.1545057,0.1877756
1972-09-22,0.87349766,-0.43991125,0.3588178,2.1738086,0.16611713
1972-09-25,0.87746334,-0.4529335,0.3382061,2.1752086,0.16321743
1972-09-26,0.8828822,-0.4250252,0.27863804,2.1762538,0.17936996
1972-09-27,0.86195946,-0.5012509,0.2680897,2.183786,0.1809703
1972-09-28,0.861131,-0.51625156,0.27255037,2.181922,0.19208074
1972-09-29,0.83794034,-0.5490792,0.27232373,2.1880965,0.2001964
1972-10-02,0.8588196,-0.50709313,0.29327634,2.1779513,0.20713681
1972-10-03,0.8477992,-0.53644454,0.34992823,2.1792226,0.19054887
1972-10-04,0.8545164,-0.5100111,0.3247921,2.1773324,0.19918866
1972-10-05,0.84495497,-0.5063771,0.30682686,2.1825895,0.19771141
1972-10-06,0.85781085,-0.42532972,0.29420474,2.1794508,0.20212148
1972-10-10,0.838498,-0.38443816,0.3102547,2.1767805,0.22849098
1972-10-11,0.83436644,-0.42146662,0.3398779,2.1767964,0.22697896
1972-10-12,0.8331369,-0.46673837,0.3643667,2.1800332,0.20596522
1972-10-13,0.8237549,-0.4637509,0.34515285,2.1858354,0.20273685
1972-10-16,0.8236958,-0.4725272,0.31893805,2.18779,0.20782015
1972-10-17,0.81761026,-0.47156137,0.32232663,2.1883864,0.2118076
1972-10-18,0.8209121,-0.4834727,0.37400705,2.1832905,0.20747899
1972-10-19,0.81618994,-0.5133523,0.38274616,2.1834888,0.21024102
1972-10-20,0.8142147,-0.497192,0.38940465,2.1817584,0.21622656
1972-10-24,0.8149217,-0.4163291,0.3827505,2.1768715,0.23774074
1972-10-25,0.8022423,-0.41820368,0.4062751,2.177857,0.24052458
1972-10-26,0.7927054,-0.42410147,0.43324226,2.1765275,0.24820894
1972-10-27,0.79115283,-0.4171782,0.4563478,2.1749945,0.2460917
1972-10-30,0.78439915,-0.43918976,0.47932,2.1760874,0.23837306
1972-10-31,0.78260016,-0.4291827,0.4808213,2.174846,0.2440455
1972-11-01,0.78480446,-0.4254111,0.5167937,2.1670713,0.25546142
1972-11-02,0.79322714,-0.31618404,0.50228316,2.1571975,0.28825852
1972-11-03,0.7956552,-0.28595394,0.51218253,2.1508615,0.30865532
1972-11-06,0.7974129,-0.25738525,0.51664567,2.1457195,0.32597905
1972-11-08,0.7743646,-0.3000156,0.5161705,2.1583872,0.3026611
1972-11-09,0.7811009,-0.31865716,0.52329314,2.1578372,0.29981664
1972-11-10,0.7975747,-0.27264097,0.5199133,2.1517854,0.30398738
1972-11-13,0.7963928,-0.20923822,0.4966578,2.1489754,0.3219383
1972-11-14,0.7913845,-0.19633041,0.5057359,2.1475666,0.328144
1972-11-15,0.7971158,-0.16594559,0.49369723,2.1408641,0.34863585
1972-11-16,0.7991462,-0.1681339,0.49901855,2.1420243,0.34070155
1972-11-17,0.7870126,-0.20147012,0.5312072,2.1458888,0.33462933
1972-11-20,0.78195465,-0.15248038,0.5101785,2.1483161,0.3396872
1972-11-21,0.7816708,-0.13559955,0.49201012,2.1541474,0.32719424
1972-11-22,0.77037096,-0.13724753,0.47703648,2.1602578,0.322185
1972-11-24,0.76560056,-0.119476475,0.47792962,2.1627479,0.31916308
1972-11-27,0.7451936,-0.23068696,0.46938157,2.17648,0.29653963
1972-11-28,0.7401532,-0.14343607,0.45744506,2.1784697,0.29882854
1972-11-29,0.72161984,-0.08929852,0.43384007,2.1832306,0.30781126
1972-11-30,0.72463113,-0.074155286,0.45893717,2.180682,0.30590025
1972-12-01,0.721067,-0.04048068,0.43822876,2.1843154,0.3017464
1972-12-04,0.70086366,-0.025159918,0.41786295,2.1945362,0.29331154
1972-12-05,0.69287634,0.0038443655,0.41249204,2.2004008,0.28179646
1972-12-06,0.68836737,-0.013356395,0.3856055,2.2036362,0.28231528
1972-12-07,0.68455505,0.037534565,0.39079595,2.202217,0.2875832
1972-12-08,0.67691755,0.082405955,0.40527505,2.2047448,0.27857664
1972-12-11,0.6685014,0.09011972,0.38891768,2.2099893,0.273105
1972-12-12,0.6776945,0.111405134,0.37253076,2.207475,0.27788508
1972-12-13,0.68949914,0.09448507,0.3744485,2.2028866,0.2832581
1972-12-14,0.69220877,0.10544112,0.36764055,2.202242,0.2854711
1972-12-15,0.6823753,0.10509886,0.37461597,2.2043638,0.28639778
1972-12-18,0.6568658,0.066842675,0.42310748,2.214323,0.25928143
1972-12-19,0.66102386,0.11236042,0.3898235,2.2177708,0.25137976
1972-12-20,0.65829086,0.077627815,0.38642663,2.2202933,0.24863334
1972-12-21,0.6442112,0.04658851,0.37827352,2.2243867,0.25501838
1972-12-22,0.6363025,-0.00048208237,0.3990759,2.226059,0.25096682
1972-12-26,0.62611353,0.025207914,0.38900173,2.230224,0.24975184
1972-12-27,0.6087096,-0.07408404,0.39093977,2.2383378,0.23986039
1972-12-28,0.6054145,-0.13289955,0.4173776,2.2397685,0.23169346
1972-12-29,0.58604306,-0.12452769,0.44391698,2.2442694,0.22124055
1973-01-02,0.5671898,-0.14780644,0.44426796,2.2535815,0.20163563
1973-01-03,0.56936926,-0.15223286,0.43756968,2.2515156,0.21417397
1973-01-04,0.5785043,-0.119827315,0.41062048,2.2475338,0.2285703
1973-01-05,0.57777196,-0.15266696,0.4430778,2.2485142,0.21215135
1973-01-08,0.5730535,-0.16490752,0.47042757,2.249704,0.19807313
1973-01-09,0.5619738,-0.16035224,0.45334506,2.2535644,0.20067744
1973-01-10,0.550177,-0.12819068,0.47241336,2.2561605,0.19432661
1973-01-11,0.517565,-0.14339627,0.46168703,2.2676458,0.18446177
1973-01-12,0.49919704,-0.16169573,0.47421336,2.2734394,0.17366749
1973-01-15,0.47549886,-0.120605156,0.44924802,2.2814302,0.17436159
1973-01-16,0.44630188,-0.09019604,0.4325688,2.2919211,0.16374986
1973-01-17,0.45075345,-0.05772282,0.41637653,2.2908978,0.16924201
